Symbol,Name
2006.TW,東和鋼鐵
2007.TW,燁興
2008.TW,高興昌
2009.TW,第一銅
2010.TW,春源
2012.TW,春雨
2013.TW,中鋼構
2014.TW,中鴻
2015.TW,豐興
2017.TW,官田鋼
2020.TW,美亞
2022.TW,聚亨
2023.TW,燁輝
2024.TW,志聯
2025.TW,千興
2027.TW,大成鋼
2028.TW,威致
2029.TW,盛餘
2030.TW,彰源
2031.TW,新光鋼
2032.TW,新鋼
2033.TW,佳大
2034.TW,允強
2038.TW,海光
2049.TW,上銀
2059.TW,川湖
2062.TW,橋椿
2069.TW,運錩
2101.TW,南港
2102.TW,泰豐
2103.TW,台橡
2104.TW,國際中橡
2105.TW,正新
2106.TW,建大
2107.TW,厚生
2108.TW,南帝
2109.TW,華豐
2114.TW,鑫永銓
2115.TW,六暉-KY
2201.TW,裕隆
2204.TW,中華
2206.TW,三陽工業
2207.TW,和泰車
2208.TW,台船
2211.TW,長榮鋼
2227.TW,裕日車
2228.TW,劍麟
2231.TW,為升
2233.TW,宇隆
2236.TW,百達-KY
2239.TW,英利-KY
2241.TW,艾姆勒
2243.TW,宏旭-KY
2247.TW,汎德永業
2250.TW,IKKA-KY
2301.TW,光寶科
2302.TW,麗正
2303.TW,聯電
2305.TW,全友
2308.TW,台達電
2312.TW,金寶
2313.TW,華通
2314.TW,台揚
2316.TW,楠梓電
2317.TW,鴻海
2321.TW,東訊
2323.TW,中環
2324.TW,仁寶
2327.TW,國巨
2328.TW,廣宇
2329.TW,華泰
2330.TW,台積電
2331.TW,精英
2332.TW,友訊
2337.TW,旺宏
2338.TW,光罩
2340.TW,台亞
2342.TW,茂矽
2344.TW,華邦電
2345.TW,智邦
2347.TW,聯強
2348.TW,海悅
2349.TW,錸德
2351.TW,順德
2352.TW,佳世達
2353.TW,宏碁
2354.TW,鴻準
2355.TW,敬鵬
2356.TW,英業達
2357.TW,華碩
2358.TW,廷鑫
2359.TW,所羅門
2360.TW,致茂
2362.TW,藍天
2363.TW,矽統
2364.TW,倫飛
2365.TW,昆盈
2367.TW,燿華
2368.TW,金像電
2369.TW,菱生
2371.TW,大同
2373.TW,震旦行
2374.TW,佳能
2375.TW,凱美
2376.TW,技嘉
2377.TW,微星
2379.TW,瑞昱
2380.TW,虹光
2382.TW,廣達
2383.TW,台光電
2385.TW,群光
2387.TW,精元
2388.TW,威盛
2390.TW,云辰
2392.TW,正崴
2393.TW,億光
2395.TW,研華
2397.TW,友通
2399.TW,映泰
2401.TW,凌陽
2402.TW,毅嘉
2404.TW,漢唐
2405.TW,輔信
2406.TW,國碩
2408.TW,南亞科
2409.TW,友達
2412.TW,中華電
2413.TW,環科
2414.TW,精技
2415.TW,錩新
2417.TW,圓剛
2419.TW,仲琦
2420.TW,新巨
2421.TW,建準
2423.TW,固緯
2424.TW,隴華
2425.TW,承啟
2426.TW,鼎元
2427.TW,三商電
2428.TW,興勤
2429.TW,銘旺科
2430.TW,燦坤
2431.TW,聯昌
2433.TW,互盛電
2434.TW,統懋
2436.TW,偉詮電
2438.TW,翔耀
2439.TW,美律
2440.TW,太空梭
2441.TW,超豐
2442.TW,新美齊
2443.TW,昶虹
2444.TW,兆勁
2449.TW,京元電子
2450.TW,神腦
2451.TW,創見
2453.TW,凌群
2454.TW,聯發科
2455.TW,全新
2457.TW,飛宏
2458.TW,義隆
2459.TW,敦吉
2460.TW,建通
2461.TW,光群雷
2462.TW,良得電
2464.TW,盟立
2465.TW,麗臺
2466.TW,冠西電
2467.TW,志聖
2468.TW,華經
2471.TW,資通
2472.TW,立隆電
2474.TW,可成
2476.TW,鉅祥
2477.TW,美隆電
2478.TW,大毅
2480.TW,敦陽科
2481.TW,強茂
2482.TW,連宇
2483.TW,百容
2484.TW,希華
2485.TW,兆赫
2486.TW,一詮
2488.TW,漢平
2489.TW,瑞軒
2491.TW,吉祥全
2492.TW,華新科
2493.TW,揚博
2495.TW,普安
2496.TW,卓越
2497.TW,怡利電
2498.TW,宏達電
2501.TW,國建
2504.TW,國產
2505.TW,國揚
2506.TW,太設
2509.TW,全坤建
2511.TW,太子
2514.TW,龍邦
2515.TW,中工
2516.TW,新建
2520.TW,冠德
2524.TW,京城
2527.TW,宏璟
2528.TW,皇普
2530.TW,華建
2534.TW,宏盛
2535.TW,達欣工
2536.TW,宏普
2537.TW,聯上發
2538.TW,基泰
2539.TW,櫻花建
2540.TW,愛山林
2542.TW,興富發
2543.TW,皇昌
2545.TW,皇翔
2546.TW,根基
2547.TW,日勝生
2548.TW,華固
2597.TW,潤弘
2601.TW,益航
2603.TW,長榮
2605.TW,新興
2606.TW,裕民
2607.TW,榮運
2608.TW,嘉里大榮
2609.TW,陽明
2610.TW,華航
2611.TW,志信
2612.TW,中航
2613.TW,中櫃
2614.TW,東森
2615.TW,萬海
2616.TW,山隆
2617.TW,台航
2618.TW,長榮航
2630.TW,亞航
2633.TW,台灣高鐵
2634.TW,漢翔
2636.TW,台驊投控
2637.TW,慧洋-KY
2642.TW,宅配通
2645.TW,長榮航太
2701.TW,萬企
2702.TW,華園
2704.TW,國賓
2705.TW,六福
2706.TW,第一店
2707.TW,晶華
2712.TW,遠雄來
2722.TW,夏都
2723.TW,美食-KY
2727.TW,王品
2731.TW,雄獅
2739.TW,寒舍
2748.TW,雲品
2753.TW,八方雲集
2801.TW,彰銀
2809.TW,京城銀
2812.TW,台中銀
2816.TW,旺旺保
2820.TW,華票
2832.TW,台產
2834.TW,臺企銀
2836.TW,高雄銀
2838.TW,聯邦銀
2845.TW,遠東銀
2849.TW,安泰銀
2850.TW,新產
2851.TW,中再保
2852.TW,第一保
2855.TW,統一證
2867.TW,三商壽
2880.TW,華南金
2881.TW,富邦金
2882.TW,國泰金
2883.TW,開發金
2884.TW,玉山金
2885.TW,元大金
2886.TW,兆豐金
2887.TW,台新金
2888.TW,新光金
2889.TW,國票金
2890.TW,永豐金
2891.TW,中信金
2892.TW,第一金
2897.TW,王道銀行
2901.TW,欣欣
2903.TW,遠百
2904.TW,匯僑
2905.TW,三商
2906.TW,高林
2908.TW,特力
2910.TW,統領
2911.TW,麗嬰房
2912.TW,統一超
2913.TW,農林
2915.TW,潤泰全
2923.TW,鼎固-KY
2929.TW,淘帝-KY
2939.TW,凱羿-KY
2945.TW,三商家購
3002.TW,歐格
3003.TW,健和興
3004.TW,豐達科
3005.TW,神基
3006.TW,晶豪科
3008.TW,大立光
3010.TW,華立
3011.TW,今皓
3013.TW,晟銘電
3014.TW,聯陽
3015.TW,全漢
3016.TW,嘉晶
3017.TW,奇鋐
3018.TW,同開
3019.TW,亞光
3021.TW,鴻名
3022.TW,威強電
3023.TW,信邦
3024.TW,憶聲
3025.TW,星通
3026.TW,禾伸堂
3027.TW,盛達
3028.TW,增你強
3029.TW,零壹
3030.TW,德律
3031.TW,佰鴻
3032.TW,偉訓
3033.TW,威健
3034.TW,聯詠
3035.TW,智原
3036.TW,文曄
3037.TW,欣興
3038.TW,全台
3040.TW,遠見
3041.TW,揚智
3042.TW,晶技
3043.TW,科風
3044.TW,健鼎
3045.TW,台灣大
3046.TW,建碁
3047.TW,訊舟
3048.TW,益登
3049.TW,和鑫
3050.TW,鈺德
3051.TW,力特
3052.TW,夆典
3054.TW,立萬利
3055.TW,蔚華科
3056.TW,總太
3057.TW,喬鼎
3058.TW,立德
3059.TW,華晶科
3060.TW,銘異
3062.TW,建漢
3090.TW,日電貿
3092.TW,鴻碩
3094.TW,聯傑
3130.TW,一零四
3138.TW,耀登
3149.TW,正達
3164.TW,景岳
3167.TW,大量
3189.TW,景碩
3209.TW,全科
3229.TW,晟鈦
3231.TW,緯創
3257.TW,虹冠電
3266.TW,昇陽
3296.TW,勝德
3305.TW,昇貿
3308.TW,聯德
3311.TW,閎暉
3312.TW,弘憶股
3321.TW,同泰
3338.TW,泰碩
3346.TW,麗清
3356.TW,奇偶
3376.TW,新日興
3380.TW,明泰
3406.TW,玉晶光
3413.TW,京鼎
3416.TW,融程電
3419.TW,譁裕
3432.TW,台端
3437.TW,榮創
3443.TW,創意
3447.TW,展達
3450.TW,聯鈞
3454.TW,晶睿
3481.TW,群創
3494.TW,誠研
3501.TW,維熹
3504.TW,揚明光
3515.TW,華擎
3518.TW,柏騰
3528.TW,安馳
3530.TW,晶相光
3532.TW,台勝科
3533.TW,嘉澤
3535.TW,晶彩科
3536.TW,誠創
3543.TW,州巧
3545.TW,敦泰
3550.TW,聯穎
3557.TW,嘉威
3563.TW,牧德
3576.TW,聯合再生
3583.TW,辛耘
3588.TW,通嘉
3591.TW,艾笛森
3592.TW,瑞鼎
3593.TW,力銘
3596.TW,智易
3605.TW,宏致
3607.TW,谷崧
3617.TW,碩天
3622.TW,洋華
3645.TW,達邁
3652.TW,精聯
3653.TW,健策
3661.TW,世芯-KY
3665.TW,貿聯-KY
3669.TW,圓展
3673.TW,TPK-KY
3679.TW,新至陞
3682.TW,亞太電
3686.TW,達能
3694.TW,海華
3701.TW,大眾控
3702.TW,大聯大
3703.TW,欣陸
3704.TW,合勤控
3705.TW,永信
3706.TW,神達
3708.TW,上緯投控
3711.TW,日月光投控
3712.TW,永崴投控
3714.TW,富采
3715.TW,定穎投控
4104.TW,佳醫
4106.TW,雃博
4108.TW,懷特
4119.TW,旭富
4133.TW,亞諾法
4137.TW,麗豐-KY
4142.TW,國光生
4148 全宇生技-KY.TW,
4155.TW,訊映
4164.TW,承業醫
4190.TW,佐登-KY
4306.TW,炎洲
4414.TW,如興
4426.TW,利勤
4438.TW,廣越
4439.TW,冠星-KY
4440.TW,宜新實業
4526.TW,東台
4532.TW,瑞智
4536.TW,拓凱
4540.TW,全球傳動
4545.TW,銘鈺
4551.TW,智伸科
4552.TW,力達-KY
4555.TW,氣立
4557.TW,永新-KY
4560.TW,強信-KY
4562.TW,穎漢
4564.TW,元翎
4566.TW,時碩工業
4571.TW,鈞興-KY
4572.TW,駐龍
4576.TW,大銀微系統
4581.TW,光隆精密-KY
4583.TW,台灣精銳
4720.TW,德淵
4722.TW,國精化
4737.TW,華廣
4739.TW,康普
4746.TW,台耀
4755.TW,三福化
4763.TW,材料-KY
4764.TW,雙鍵
4766.TW,南寶
4770.TW,上品
4807.TW,日成-KY
4904.TW,遠傳
4906.TW,正文
4912.TW,聯德控股-KY
4915.TW,致伸
4916.TW,事欣科
4919.TW,新唐
4927.TW,泰鼎-KY
4930.TW,燦星網
4934.TW,太極
4935.TW,茂林-KY
4938.TW,和碩
4942.TW,嘉彰
4943.TW,康控-KY
4952.TW,凌通
4956.TW,光鋐
4958.TW,臻鼎-KY
4960.TW,誠美材
4961.TW,天鈺
4967.TW,十銓
4968.TW,立積
4976.TW,佳凌
4977.TW,眾達-KY
4989.TW,榮科
4994.TW,傳奇
4999.TW,鑫禾
5007.TW,三星
5203.TW,訊連
5215.TW,科嘉-KY
5222.TW,全訊
5225.TW,東科-KY
5234.TW,達興材料
5243.TW,乙盛-KY
5244.TW,弘凱
5258.TW,虹堡
5269.TW,祥碩
5283.TW,禾聯碩
5284.TW,jpp-KY
5285.TW,界霖
5288.TW,豐祥-KY
5306.TW,桂盟
5388.TW,中磊
5434.TW,崇越
5469.TW,瀚宇博
5471.TW,松翰
5484.TW,慧友
5515.TW,建國
5519.TW,隆大
5521.TW,工信
5522.TW,遠雄
5525.TW,順天
5531.TW,鄉林
5533.TW,皇鼎
5534.TW,長虹
5538.TW,東明-KY
5546.TW,永固-KY
5607.TW,遠雄港
5608.TW,四維航
5706.TW,鳳凰
5871.TW,中租-KY
5876.TW,上海商銀
5880.TW,合庫金
5906.TW,台南-KY
5907.TW,大洋-KY
6005.TW,群益證
6024.TW,群益期
6108.TW,競國
6112.TW,邁達特
6115.TW,鎰勝
6116.TW,彩晶
6117.TW,迎廣
6120.TW,達運
6128.TW,上福
6133.TW,金橋
6136.TW,富爾特
6139.TW,亞翔
6141.TW,柏承
6142.TW,友勁
6152.TW,百一
6153.TW,嘉聯益
6155.TW,鈞寶
6164.TW,華興
6165.TW,浪凡
6166.TW,凌華
6168.TW,宏齊
6176.TW,瑞儀
6177.TW,達麗
6183.TW,關貿
6184.TW,大豐電
6189.TW,豐藝
6191.TW,精成科
6192.TW,巨路
6196.TW,帆宣
6197.TW,佳必琪
6201.TW,亞弘電
6202.TW,盛群
6205.TW,詮欣
6206.TW,飛捷
6209.TW,今國光
6213.TW,聯茂
6214.TW,精誠
6215.TW,和椿
6216.TW,居易
6224.TW,聚鼎
6225.TW,天瀚
6226.TW,光鼎
6230.TW,尼得科超眾
6235.TW,華孚
6239.TW,力成
6243.TW,迅杰
6257.TW,矽格
6269.TW,台郡
6271.TW,同欣電
6277.TW,宏正
6278.TW,台表科
6281.TW,全國電
6282.TW,康舒
6283.TW,淳安
6285.TW,啟碁
6288.TW,聯嘉
6405.TW,悅城
6409.TW,旭隼
6412.TW,群電
6414.TW,樺漢
6415.TW,矽力*-KY
6416.TW,瑞祺電通
6426.TW,統新
6431.TW,光麗-KY
6438.TW,迅得
6442.TW,光聖
6443.TW,元晶
6449.TW,鈺邦
6451.TW,訊芯-KY
6456.TW,GIS-KY
6464.TW,台數科
6477.TW,安集
6491.TW,晶碩
6504.TW,南六
6505.TW,台塑化
6515.TW,穎崴
6525.TW,捷敏-KY
6531.TW,愛普*
6533.TW,晶心科
6541.TW,泰福-KY
6550.TW,北極星藥業-KY
6552.TW,易華電
6558.TW,興能高
6573.TW,虹揚-KY
6579.TW,研揚
6581.TW,鋼聯
6582.TW,申豐
6585.TW,鼎基
6591.TW,動力-KY
6592.TW,和潤企業
6598.TW,ABC-KY
6605.TW,帝寶
6625.TW,必應
6641.TW,基士德-KY
6655.TW,科定
6666.TW,羅麗芬-KY
6668.TW,中揚光
6669.TW,緯穎
6670.TW,復盛應用
6671.TW,三能-KY
6672.TW,騰輝電子-KY
6674.TW,鋐寶科技
6689.TW,伊雲谷
6691.TW,洋基工程
6695.TW,芯鼎
6698.TW,旭暉應材
6706.TW,惠特
6715.TW,嘉基
6719.TW,力智
6743.TW,安普新
6753.TW,龍德造船
6754.TW,匯僑設計
6756.TW,威鋒電子
6768.TW,志強-KY
6770.TW,力積電
6776.TW,展碁國際
6781.TW,AES-KY
6782.TW,視陽
6789.TW,采鈺
6790.TW,永豐實
6792.TW,詠業
6796.TW,晉弘
6799.TW,來頡
6806.TW,森崴能源
6807.TW,峰源-KY
6830.TW,汎銓
6834.TW,天二科技
6835.TW,圓裕
8011.TW,台通
8016.TW,矽創
8021.TW,尖點
8028.TW,昇陽半導體
8033.TW,雷虎
8039.TW,台虹
8046.TW,南電
8070.TW,長華*
8072.TW,陞泰
8081.TW,致新
8101.TW,華冠
8103.TW,瀚荃
8104.TW,錸寶
8105.TW,凌巨
8110.TW,華東
8112.TW,至上
8114.TW,振樺電
8131.TW,福懋科
8150.TW,南茂
8163.TW,達方
8201.TW,無敵
8210.TW,勤誠
8213.TW,志超
8215.TW,明基材
8222.TW,寶一
8249.TW,菱光
8261.TW,富鼎
8271.TW,宇瞻
8341.TW,日友
8367.TW,建新國際
8374.TW,羅昇
8404.TW,百和興業-KY
8411.TW,福貞-KY
8422.TW,可寧衛
8429.TW,金麗-KY
8438.TW,昶昕
8442.TW,威宏-KY
8443.TW,阿瘦
8454.TW,富邦媒
8462.TW,柏文
8463.TW,潤泰材
8464.TW,億豐
8466.TW,美吉吉-KY
8467.TW,波力-KY
8473.TW,山林水
8478.TW,東哥遊艇
8481.TW,政伸
8482.TW,商億-KY
8488.TW,吉源-KY
8499.TW,鼎炫-KY
8926.TW,台汽電
8940.TW,新天地
8996.TW,高力
9802.TW,鈺齊-KY
9902.TW,台火
9904.TW,寶成
9905.TW,大華
9906.TW,欣巴巴
9907.TW,統一實
9908.TW,大台北
9910.TW,豐泰
9911.TW,櫻花
9912.TW,偉聯
9914.TW,美利達
9917.TW,中保科
9918.TW,欣天然
9919.TW,康那香
9921.TW,巨大
9924.TW,福興
9925.TW,新保
9926.TW,新海
9927.TW,泰銘
9928.TW,中視
9929.TW,秋雨
9930.TW,中聯資源
9931.TW,欣高
9933.TW,中鼎
9934.TW,成霖
9935.TW,慶豐富
9937.TW,全國
9938.TW,百和
9939.TW,宏全
9940.TW,信義
9941.TW,裕融
9942.TW,茂順
9943.TW,好樂迪
9944.TW,新麗
9945.TW,潤泰新
9946.TW,三發地產
9955.TW,佳龍
9958.TW,世紀鋼
上市認購(售)權證.TW,
030001.TW,華新凱基29購02
030002.TW,聯發科凱基25購17
030003.TW,裕民凱基28購01
030004.TW,長榮航凱基2B購01
030005.TW,晶豪科凱基25購02
030006.TW,大立光凱基25購07
030007.TW,大立光凱基25購08
030008.TW,大立光凱基26購04
030009.TW,智原凱基25購03
030010.TW,敦泰凱基29購02
030011.TW,致伸凱基25購02
030012.TW,新唐凱基25購06
030013.TW,全訊凱基25購01
030014.TW,祥碩凱基27購01
030015.TW,聯茂凱基25購04
030016.TW,致新凱基25購01
030017.TW,富鼎凱基28購01
030018.TW,威盛中信25購01
030019.TW,大立光中信25購03
03001P.TW,臺股指群益23售16
03001U.TW,臺股指中信29售03
030020.TW,大立光中信26購03
030021.TW,志強中信25購01
030022.TW,振樺電中信25購01
030023.TW,台積電國泰27購08
030024.TW,台積電國泰27購09
030025.TW,華新法興25購01
030026.TW,可成法興25購01
030027.TW,大立光法興25購01
030028.TW,群創法興25購02
030029.TW,日月光法興25購01
03002P.TW,長榮元大24售32
03002U.TW,華通國票27售01
030030.TW,慧洋富邦26購01
030031.TW,智原富邦29購01
030032.TW,敦泰富邦26購01
030033.TW,臺股指富邦26購04
030034.TW,電子類富邦26購01
030035.TW,元石油元大25購02
030036.TW,道瓊反元大28購03
030037.TW,美指2X元大26購01
030038.TW,台泥元大25購02
030039.TW,中砂元大25購04
03003P.TW,臺股指群益23售17
03003U.TW,樺漢國票27售03
030040.TW,裕隆元大25購11
030041.TW,鴻海元大2A購08
030042.TW,鴻海元大2B購03
030043.TW,國巨元大25購06
030044.TW,台積電元大2A購21
030045.TW,台積電元大2B購08
030046.TW,技嘉元大25購05
030047.TW,威盛元大25購06
030048.TW,京元電元大25購03
030049.TW,宏達電元大2B購02
03004P.TW,臺股指群益23售18
03004U.TW,臺股指國票26售10
030050.TW,萬海元大25購07
030051.TW,慧洋元大25購04
030052.TW,大立光元大29購04
030053.TW,大立光元大2A購01
030054.TW,大立光元大2B購01
030055.TW,聯詠元大25購04
030056.TW,智原元大25購03
030057.TW,智原元大2A購01
030058.TW,晶睿元大28購02
030059.TW,敦泰元大27購03
03005P.TW,臺股指群益23售19
03005U.TW,臺股指國票26售11
03005X.TW,元展05
030060.TW,材料元大25購03
030061.TW,新唐元大25購02
030062.TW,祥碩元大25購06
030063.TW,嘉聯益元大25購04
030064.TW,晶心科元大25購02
030065.TW,緯穎元大25購09
030066.TW,力智元大25購03
030067.TW,威鋒電元大25購03
030068.TW,南電元大2B購03
030069.TW,南茂元大25購01
03006P.TW,臺股指群益23售20
03006U.TW,臺股指國票27售07
03006X.TW,元展06
030070.TW,欣興兆豐27購02
030071.TW,晶心科兆豐25購01
030072.TW,技嘉永豐26購01
030073.TW,華擎永豐26購01
030074.TW,大立光統一28購02
030075.TW,大立光統一28購03
030076.TW,臺指反元富28購01
030077.TW,義隆元富27購01
030078.TW,祥碩元富26購01
030079.TW,晶心科元富25購03
03007P.TW,鴻海元大23售17
03007U.TW,臺股指國票28售04
03007X.TW,元展07
030080.TW,臺指反凱基2B購04
030081.TW,台泥凱基25購01
030082.TW,中興電凱基25購01
030083.TW,中砂凱基27購01
030084.TW,裕隆凱基25購02
030085.TW,鴻海凱基26購06
030086.TW,美律凱基25購01
030087.TW,全新凱基25購02
030088.TW,揚明光凱基25購03
030089.TW,華擎凱基26購02
03008P.TW,台積電元大23售66
03008U.TW,臺股指國票29售03
030090.TW,嘉澤凱基26購03
030091.TW,碩天凱基26購01
030092.TW,啟碁凱基26購02
030093.TW,晶心科凱基25購06
030094.TW,嘉基凱基26購01
030095.TW,T50反1國票25購03
030096.TW,T50反1國票26購02
030097.TW,T50反1國票26購03
030098.TW,T50反1國票27購03
030099.TW,T50反1國票28購04
03009P.TW,華邦電元大23售02
03009U.TW,電子類國票26售01
030100.TW,滬深2X國票26購03
030101.TW,台泥國票26購01
030102.TW,為升國票26購01
030103.TW,國巨國票26購01
030104.TW,台積電國票26購04
030105.TW,台積電國票27購02
030106.TW,威盛國票26購02
030107.TW,南亞科國票26購02
030108.TW,宏達電國票26購02
030109.TW,欣興國票26購04
03010P.TW,華航元大23售11
03010U.TW,電子類國票26售02
03010X.TW,元展10
030110.TW,總太國票25購01
030111.TW,華擎國票26購02
030112.TW,嘉澤國票26購01
030113.TW,致伸國票26購02
030114.TW,祥碩國票25購02
030115.TW,祥碩國票27購01
030116.TW,晶心科國票26購04
030117.TW,滬深2X中信26購02
030118.TW,滬深2X中信28購01
030119.TW,台泥中信25購01
03011P.TW,中信金元大23售02
03011U.TW,電子類國票26售03
030120.TW,華新中信29購01
030121.TW,中華中信25購01
030122.TW,為升中信26購01
030123.TW,技嘉中信26購01
030124.TW,全新中信25購01
030125.TW,祥碩中信26購01
030126.TW,祥碩中信27購01
030127.TW,中鴻元大25購02
030128.TW,裕隆元大25購12
030129.TW,裕隆元大29購02
03012P.TW,奇鋐元大23售07
03012U.TW,電子類國票26售04
03012X.TW,元展12
030130.TW,裕隆元大2A購01
030131.TW,為升元大25購02
030132.TW,華通元大25購03
030133.TW,鴻海元大2B購04
030134.TW,國巨元大25購07
030135.TW,台積電元大29購28
030136.TW,台積電元大2A購22
030137.TW,台積電元大2B購09
030138.TW,威盛元大25購08
030139.TW,長榮元大2B購02
03013P.TW,康普元大25售01
03013U.TW,電子類國票26售05
03013X.TW,元展13
030140.TW,慧洋元大25購05
030141.TW,大立光元大25購10
030142.TW,大立光元大29購05
030143.TW,大立光元大2A購02
030144.TW,智原元大25購04
030145.TW,欣興元大2B購03
030146.TW,台勝科元大25購03
030147.TW,瑞鼎元大25購03
030148.TW,祥碩元大25購07
030149.TW,祥碩元大29購01
03014P.TW,祥碩元大23售05
03014U.TW,電子類國票26售06
03014X.TW,元展14
030150.TW,祥碩元大2A購03
030151.TW,聯茂元大25購03
030152.TW,聯茂元大2A購01
030153.TW,晶心科元大25購03
030154.TW,緯穎元大25購10
030155.TW,力智元大27購01
030156.TW,南電元大2B購04
030157.TW,元黃金富邦28購01
030158.TW,道瓊反富邦25購02
030159.TW,台積電富邦26購09
03015P.TW,愛普元大25售01
03015U.TW,金融類國票26售03
03015X.TW,元展15
030160.TW,旺宏富邦28購01
030161.TW,微星富邦28購01
030162.TW,潤泰全富邦26購01
030163.TW,瑞鼎富邦25購01
030164.TW,滬深2X群益27購04
030165.TW,NASDAQ群益25購02
030166.TW,臺指反群益27購01
030167.TW,FBNQ反群益27購02
030168.TW,第一銅群益25購03
030169.TW,中華群益25購01
03016P.TW,力積電元大23售12
03016U.TW,金融類國票26售04
03016X.TW,元展16
030170.TW,鴻海群益26購01
030171.TW,鴻海群益26購02
030172.TW,台積電群益27購09
030173.TW,台積電群益27購10
030174.TW,台積電群益28購03
030175.TW,華航群益25購02
030176.TW,華航群益25購03
030177.TW,萬海群益25購03
030178.TW,萬海群益25購04
030179.TW,萬海群益25購05
03017P.TW,南電元大23售28
03017U.TW,金融類國票26售05
03017X.TW,元展17
030180.TW,慧洋群益26購01
030181.TW,大立光群益25購10
030182.TW,智原群益25購03
030183.TW,晶心科群益27購01
030184.TW,晶心科群益29購01
030185.TW,威鋒電群益27購03
030186.TW,志強群益25購01
030187.TW,AES群益27購01
